,Unnamed: 0,Subject,Days,Phone_EMA_Days,Watch_EMA_Days
0,0,craftworkattendeeensnare@timestudy_com,423,422,270
1,1,nicknameoverpaycolt@timestudy_com,421,421,141
2,2,stephen4_internal@timestudy_com,397,392,190
3,3,trombonetroweldecree@timestudy_com,393,393,243
4,4,feistydaycarelung@timestudy_com,390,390,253
5,5,scarecrowstackcharred@timestudy_com,384,380,235
6,6,atlanticchefhatchet@timestudy_com,383,383,264
7,7,bondingcoasterdirtiness@timestudy_com,383,368,230
8,8,endlessroamerreconfirm@timestudy_com,383,383,210
9,9,fracturerepurposealgebra@timestudy_com,383,352,249
10,10,residentselfgutter@timestudy_com,383,383,263
11,11,defilinganywayimmovable@timestudy_com,379,379,188
12,12,washboardceramicsenticing@timestudy_com,379,379,273
13,13,earflapmaraudingappointee@timestudy_com,378,374,138
14,14,resupplyclappingyahoo@timestudy_com,378,378,178
15,15,unelectedscrubbeddeflected@timestudy_com,377,362,161
16,16,rebuttalskateroyster@timestudy_com,376,375,239
17,17,slapstickporcupineslacks@timestudy_com,375,374,220
18,18,whoeverrelightspookily@timestudy_com,375,374,157
19,19,attirecrabbinghumbling@timestudy_com,374,374,258
20,20,bartenderradiatorapplied@timestudy_com,374,370,95
21,21,coynessculminatebarista@timestudy_com,374,371,235
22,22,pandemicerraticobscure@timestudy_com,374,372,250
23,23,quizzicalpremiumfrayed@timestudy_com,374,373,131
24,24,cohesiveprotractfavored@timestudy_com,373,373,260
25,25,equallustinessuntil@timestudy_com,373,370,224
26,26,handcufffootloosecabful@timestudy_com,373,372,224
27,27,moocherchemicalsbanker@timestudy_com,373,373,262
28,28,sculpturecrunchingerasure@timestudy_com,372,372,250
29,29,sublevelcurlyhanky@timestudy_com,372,372,192
