,Phone EMA,Watch EMA,Behavioral
IN_VEHICLE,,,-0.015109117056194943
MIMS_SUM_WEAR,,,0.011970123660951345
ON_BIKE,,,-0.04700905443235132
ON_FOOT,,,-0.06318127172618611
Q1_SAD,0.29393398290510986,,
Q2_HAPP,-0.13497765093053604,,
Q3_FATIG,0.15053165583710368,,
Q4_EN,-0.04683731953595286,,
Q5_REL,-0.20196882886699957,,
Q6_TEN,0.4396594755252932,,
Q7_STRESS,0.6545632523438691,,
Q8_FRUST,0.42363454608743106,,
Q9_NERV,0.2725929382906157,,
SCREEN_ON_SECONDS,,,0.0065354527732804524
SLEEP_MINUTES,,,-0.019032539840623273
STILL,,,-0.001966148073189865
TILTING,,,0.014041593088839838
UNKNOWN,,,-0.06365836998194459
UNLOCK_EVENTS_NUM,,,0.019715165999007096
USAGE_DURATION_MIN,,,0.030875078662481775
excite_14,,-0.07243506376379644,
focus_3,,-0.015269760344878825,
frust_12,,0.2738601362403352,
happy_8,,-0.19009897670652348,
int_exer_3,,-0.0008602578368272349,
nervous_4,,0.2966951325460294,
proc_4,,0.06071998959085523,
relax_10,,-0.21324396556651415,
sad_7,,0.2052830035358711,
stress_2,,0.07421975554501573,
stress_normalized,1.0,,
tense_11,,0.3146782864304374,
