,correlation,mean_high_stress,mean_low_stress,std_high_stress,std_low_stress,effect_size
IN_VEHICLE,-0.015109117056195023,21.46605504587156,17.06739726027397,34.97015970541878,40.1701746721263,0.11466356272731924
ON_BIKE,-0.047009054432351406,0.3036697247706422,0.36767123287671233,1.0994970555284023,1.659352250684863,-0.043384687644138345
ON_FOOT,-0.06318127172618629,23.90091743119266,19.037808219178082,26.94141007355907,28.75984186266317,0.1725277027415716
STILL,-0.0019661480731898062,405.6192660550459,317.33643835616436,391.44608757982814,381.77608470468573,0.2277006720766009
TILTING,0.01404159308883992,37.836697247706425,35.08109589041096,37.39323868640296,32.69206068958791,0.07976987502059864
UNKNOWN,-0.06365836998194468,64.8256880733945,52.683287671232875,62.633841123899096,69.22492634724709,0.1810045452324957
MIMS_SUM_WEAR,0.011970123660951328,9151.669042783653,7691.018760532175,3591.1670701428097,3769.7401803142693,0.3872615059372809
SLEEP_MINUTES,-0.019032539840623273,412.6756993006993,419.7988223748773,133.79839721573015,137.70047734684223,-0.052248265915697346
SCREEN_ON_SECONDS,0.006535452773280469,21487.5373015873,26082.60404494382,10302.179168416107,16518.501687150165,-0.3116400838209047
UNLOCK_EVENTS_NUM,0.019715165999007096,59.2015873015873,56.23011235955056,27.006115225838396,25.779608444332993,0.1131359082889658
USAGE_DURATION_MIN,0.030875078662481868,143.34288121314236,121.05615234375,108.03197112560483,93.87707389802027,0.22316088481575458
Q1_SAD,0.29393398290511036,2.1674091472900994,1.3928706133620994,1.0791002738863407,0.6559268517646658,0.8397402791801223
Q2_HAPP,-0.13497765093053615,2.882286514191276,3.3916674214317832,0.9656886359430894,1.1670445008555317,-0.4538889571126007
Q3_FATIG,0.1505316558371028,2.78035570249856,2.2235709287384124,1.1465387251755088,1.0211467613815752,0.5043221240526916
Q4_EN,-0.046837319535952826,2.713338987952083,3.083798732100246,1.0004684862040196,1.2218205531253015,-0.32030281940180844
Q5_REL,-0.20196882886699966,3.0467132217429835,3.5852236784050078,0.9385758534990638,1.0462939434731153,-0.5178286009200169
Q6_TEN,0.4396594755252921,2.3455412896186707,1.3954847107227137,0.9771959281240828,0.5633008960027754,1.080956140246135
Q8_FRUST,0.42363454608743256,2.1214239431203716,1.2787810239725874,1.0157927185842444,0.48850673600780736,1.0017352401826531
Q9_NERV,0.2725929382906153,2.10780777628742,1.3966778581422024,1.040979623639614,0.6832005817408372,0.7905910508933184
excite_14,-0.07243506376379652,3.0033153303920077,3.4561033681765387,1.4172697731075858,1.54550570328711,-0.3004268075860298
focus_3,-0.015269760344878765,4.346909722222222,4.4965881801675165,0.9553944060833617,0.8902477258701563,-0.1625249946736353
frust_12,0.27386013624033545,2.2360661874812817,1.5098472175755548,1.3124325245167678,0.9535320537825012,0.6173695499260841
happy_8,-0.19009897670652343,3.4848643032396978,4.108132564189572,1.3500211894229521,1.2193329243608826,-0.4746798236605781
int_exer_3,-0.0008602578368271289,3.1640625,3.064630091438071,1.6904242436628796,1.7054335169924186,0.058547158548398315
nervous_4,0.2966951325460291,2.647405165456013,1.6536791244615208,1.4672785024039476,1.0965241835848116,0.7327996873321448
proc_4,0.060719989590855165,1.9001016260162602,1.5721448827017273,1.1953925090889628,1.0379821944206433,0.2928564616953398
relax_10,-0.2132439655665142,3.9283593073593073,4.391775793650793,1.0713890963962802,0.9018608012106163,-0.4654013828095594
sad_7,0.2052830035358712,2.3361440781440783,1.4611904761904762,1.4778904912286697,0.9527769527422348,0.6850318757624057
tense_11,0.31467828643043766,2.8731922398589065,1.7343877551020408,1.313417382852833,1.1075518861674787,0.8560672841112973
