,0
int_exer_3,0.11745993456578274
relax_10,0.0536188324671659
excite_14,0.05092625462193162
happy_8,0.04616463827304873
UNLOCK_EVENTS_NUM,0.04474856686562578
focus_3,0.029580320391545317
Q4_EN,0.025394378787703398
Q5_REL,0.02496932030011333
TILTING,0.021510879973794025
Q2_HAPP,0.008910590176395852
frust_12,-5.38537270414381e-16
ON_FOOT,-0.0025411882909672835
Q9_NERV,-0.004945283846906859
Q6_TEN,-0.004945283846906861
Q1_SAD,-0.0061537444067027046
Q3_FATIG,-0.008191836847117943
ON_BIKE,-0.013539254763521925
UNKNOWN,-0.01822687360378422
sad_7,-0.018248296715045298
USAGE_DURATION_MIN,-0.021625536379516128
tense_11,-0.022757519757965312
IN_VEHICLE,-0.029334684171379674
nervous_4,-0.039632471768367476
STILL,-0.03998563052288648
proc_4,-0.044700072572213714
MIMS_SUM_WEAR,-0.0795103654905481
SLEEP_MINUTES,-0.08280650070903844
SCREEN_ON_SECONDS,-0.09339739769419121
